lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity,rating
"43.6791876,-79.39071899999999",4ada0042f964a520111d21e3,13383,Steakhouse,"[{'id': 13383, 'name': 'Steakhouse', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",Jack Astor’s,"2 Bloor St E (at Yonge), Toronto ON M4W 1A8",Toronto,CA,0.9879837230698932,7.1
"43.6791876,-79.39071899999999",4adf33cff964a520487821e3,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Pilot Tavern,"22 Cumberland St (btwn Bay & Yonge), Toronto ON M4W 1J5",Toronto,CA,0.9667669052220789,6.9
"43.6791876,-79.39071899999999",5792a871cd1010a4f248dfcb,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Kiro Sushi,"4 Collier St, Toronto ON M4W 1L7",Toronto,CA,0.958863084836397,6.7
"43.6791876,-79.39071899999999",610ca17b5b72f10d122865ea,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",David Rocco Bar Aperitivo,"95 Cumberland St, Toronto ON M5R 3N7",Toronto,CA,0.9546888796952089,
"43.6791876,-79.39071899999999",4b6b4014f964a52025fc2be3,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",Cibo Wine Bar - Yorkville,"133 Yorkville Ave (btwn Bay St and Avenue Rd), Toronto ON M5R 1C4",Toronto,CA,0.9545777322210353,7.5
"43.6791876,-79.39071899999999",610fff29a15e586df539ec82,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Shenanigan’s,"11 St Clair Ave W (Yonge Street), Toronto ON M4V 1K6",Toronto,CA,0.9538799730776119,
"43.6791876,-79.39071899999999",4adca9f1f964a5207b2e21e3,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Sushi Inn,"120 Cumberland St, Toronto ON M5R 1A6",Toronto,CA,0.9446856070195805,7.6
"43.6791876,-79.39071899999999",4b02a076f964a520234922e3,13068,American Restaurant,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",One Restaurant,"116 Yorkville Ave (at Hazelton Ave.), Toronto ON M5R 1C2",Toronto,CA,0.9424194335183733,7.4
"43.6791876,-79.39071899999999",4af85af6f964a520790c22e3,13145,Fast Food Restaurant,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13332, 'name': 'Salad Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/salad_', 'suffix': '.png'}}, {'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",Freshii,"1250 Bay St (at Cumberland), Toronto ON M5R 2B1",Toronto,CA,0.9398568667527031,7.3
"43.6791876,-79.39071899999999",5fbd56f0fcdc41556fabfd22,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Aburi Hana,"102 Yorkville Ave, Toronto ON M5R 1B9",Toronto,CA,0.9383749004303877,
